Camper's Last Name,Camper's First Name,Cabin Mate Request,Activity Choice #1,Activity Choice #2,Activity Choice #3,Activity Choice #4,Alternate Activity Choice
BE,57,H,Extreme Water Sports,Crafts,Archery,Splash (beach activities),Team Sports
BF,58,E,Team Sports,Crafts,Creation Exploration,Splash (beach activities),Canoeing
BG,59,D,Horsemanship,Crafts,Creation Exploration,Canoeing,Splash (beach activities)
BH,60,,Archery,Crafts,Creation Exploration,Splash (beach activities),Canoeing
BI,61,,Archery,Team Sports,Creation Exploration,Canoeing,Wall Climbing
BJ,62,,Archery,Canoeing,Extreme Water Sports,Wall Climbing,Crafts
BK,63,S,Horsemanship,Creation Exploration,Extreme Water Sports,Canoeing,Splash (beach activities)
BL,64,T,Extreme Water Sports,Horsemanship,Crafts,Archery,Splash (beach activities)
BM,65,U,Extreme Water Sports,Archery,Splash (beach activities),Wall Climbing,Canoeing
BN,66,X,Horsemanship,Crafts,Archery,Team Sports,Wall Climbing
BO,67,,Wall Climbing,Canoeing,Creation Exploration,Team Sports,Splash (beach activities)
BP,68,,Crafts,Wall Climbing,Creation Exploration,Splash (beach activities),Team Sports
BQ,69,,Horsemanship,Archery,Crafts,Wall Climbing,Splash (beach activities)
BR,70,Y,Extreme Water Sports,Team Sports,Wall Climbing,Horsemanship,Canoeing
BS,71,G,Archery,Horsemanship,Extreme Water Sports,Wall Climbing,Splash (beach activities)
BT,72,,Archery,Creation Exploration,Extreme Water Sports,Splash (beach activities),Wall Climbing
BU,73,H,Horsemanship,Crafts,Creation Exploration,Canoeing,Archery
BV,74,,Splash (beach activities),Team Sports,Crafts,Wall Climbing,Horsemanship
BW,75,,Crafts,Horsemanship,Splash (beach activities),Wall Climbing,Team Sports
BX,76,,Extreme Water Sports,Archery,Wall Climbing,Canoeing,Team Sports
BY,77,,Crafts,Wall Climbing,Canoeing,Extreme Water Sports,Archery
BZ,78,,Archery,Splash (beach activities),Wall Climbing,Canoeing,Extreme Water Sports
CA,79,S,Creation Exploration,Team Sports,Wall Climbing,Archery,Horsemanship
CB,80,D,Team Sports,Splash (beach activities),Extreme Water Sports,Wall Climbing,Horsemanship
CC,81,F,Horsemanship,Extreme Water Sports,Crafts,Canoeing,Splash (beach activities)
CD,82,,Archery,Wall Climbing,Extreme Water Sports,Horsemanship,Team Sports
CE,83,,Horsemanship,Canoeing,Splash (beach activities),Extreme Water Sports,Team Sports
CF,84,T,Horsemanship,Archery,Canoeing,Extreme Water Sports,Splash (beach activities)
CG,85,U,Extreme Water Sports,Horsemanship,Creation Exploration,Wall Climbing,Archery
CH,86,X,Crafts,Extreme Water Sports,Archery,Horsemanship,Team Sports
CI,87,V,Wall Climbing,Creation Exploration,Splash (beach activities),Crafts,Canoeing
CJ,88,S,Creation Exploration,Horsemanship,Wall Climbing,Archery,Crafts
CK,89,A,Creation Exploration,Wall Climbing,Archery,Team Sports,Crafts
CL,90,D,Horsemanship,Crafts,Archery,Splash (beach activities),Team Sports
CM,91,,Archery,Canoeing,Splash (beach activities),Horsemanship,Wall Climbing
CN,92,,Archery,Wall Climbing,Crafts,Team Sports,Creation Exploration
CO,93,,Crafts,Canoeing,Creation Exploration,Horsemanship,Wall Climbing
CP,94,,Creation Exploration,Horsemanship,Wall Climbing,Archery,Canoeing
CQ,95,,Extreme Water Sports,Wall Climbing,Team Sports,Creation Exploration,Archery
CR,96,E,Team Sports,Extreme Water Sports,Splash (beach activities),Creation Exploration,Archery
CS,97,G,Archery,Wall Climbing,Horsemanship,Team Sports,Splash (beach activities)
CT,98,,Archery,Horsemanship,Crafts,Team Sports,Creation Exploration
